ID,lon,lat,datetime
1,-144.2446501,31.01824977,2/12/03 16:00
1,-144.1927295,30.9858386,2/13/03 4:00
1,-144.1316501,30.95101525,2/13/03 16:00
1,-144.0631796,30.91237684,2/14/03 4:00
1,-143.9886484,30.86829665,2/14/03 16:00
1,-143.9757101,30.86028993,2/14/03 18:00
1,-143.9217935,30.82382794,2/15/03 2:09
1,-143.9093726,30.81405607,2/15/03 4:00
1,-143.8692864,30.77778713,2/15/03 9:54
1,-143.8632098,30.77163235,2/15/03 10:47
1,-143.8276414,30.73206554,2/15/03 16:00
1,-143.7541251,30.62799032,2/16/03 4:00
1,-143.7063439,30.52261588,2/16/03 16:00
1,-143.702002,30.44004729,2/17/03 3:26
1,-143.7020073,30.44003087,2/17/03 3:26
1,-143.7031566,30.43674366,2/17/03 4:00
1,-143.7288052,30.40363012,2/17/03 10:46
1,-143.7341676,30.39989903,2/17/03 11:42
1,-143.7641981,30.38530963,2/17/03 16:00
1,-143.8803982,30.36685439,2/18/03 4:00
1,-144.0118943,30.38100785,2/18/03 16:00
1,-144.1116994,30.42425889,2/19/03 3:05
1,-144.1179792,30.42919833,2/19/03 4:00
1,-144.1531013,30.46303303,2/19/03 10:00
1,-144.1564159,30.46632917,2/19/03 10:37
1,-144.1581823,30.46813826,2/19/03 10:57
1,-144.1612996,30.47153108,2/19/03 11:33
1,-144.1822567,30.50197638,2/19/03 16:00
1,-144.2194114,30.61617386,2/20/03 4:00
1,-144.2261845,30.74342224,2/20/03 16:00
1,-144.2235544,30.76671315,2/20/03 18:24
1,-144.2093352,30.83240867,2/21/03 2:00
1,-144.2080052,30.83819858,2/21/03 2:43
1,-144.2057783,30.84846159,2/21/03 4:00
1,-144.1960352,30.8960991,2/21/03 10:13
1,-144.1945676,30.90244158,2/21/03 11:05
1,-144.1851929,30.93665315,2/21/03 16:00
1,-144.1580617,31.00183369,2/22/03 4:00
1,-144.1322097,31.02705184,2/22/03 16:00
1,-144.1298126,31.026569,2/22/03 17:20
1,-144.1286342,31.02603463,2/22/03 18:01
1,-144.1279253,31.0256233,2/22/03 18:26
1,-144.1147149,31.01470095,2/23/03 2:18
1,-144.1115512,31.0140321,2/23/03 4:00
1,-144.0984725,31.01856788,2/23/03 9:51
1,-144.09786,31.01890435,2/23/03 10:05
1,-144.0950181,31.02052184,2/23/03 11:08
1,-144.0809534,31.03046729,2/23/03 16:00
1,-144.0445739,31.07006428,2/24/03 4:00
1,-144.0152407,31.12627015,2/24/03 16:00
1,-144.0137168,31.13082763,2/24/03 16:52
1,-144.0017896,31.17117884,2/25/03 1:57
1,-143.9997509,31.17412151,2/25/03 3:38
1,-143.9992815,31.17445275,2/25/03 4:00
1,-143.9884351,31.16731146,2/25/03 10:22
1,-143.9727712,31.15322901,2/25/03 16:00
1,-143.9218995,31.1188374,2/26/03 4:00
1,-143.8536003,31.09118885,2/26/03 16:00
1,-143.8449279,31.08914479,2/26/03 17:23
1,-143.8377378,31.0877103,2/26/03 18:31
1,-143.7877213,31.0864554,2/27/03 3:16
1,-143.7846192,31.08736392,2/27/03 4:00
1,-143.7600911,31.0964696,2/27/03 10:12
1,-143.7581382,31.09679401,2/27/03 10:36
1,-143.7547038,31.09720891,2/27/03 11:17
1,-143.7542007,31.09725609,2/27/03 11:23
1,-143.7327435,31.09613489,2/27/03 16:00
1,-143.6891153,31.06970032,2/28/03 4:00
1,-143.6533092,31.02501679,2/28/03 16:00
